Project ID,Project Name,Dataset ID,Dataset Name,Image ID,Image Name,Download URL
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358893,Brave1 (1).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/J/g/3x/ssuntzZOZakGKb3DmWl9LLwD4FSdqJKiLiqOXmUZhFbbcsCnBHDGYFRj8W0i0phtZEPGj84K4UgCdlX8Njmwg5tmgnjXLGg5KvnDHLa7qrI4qAVe6H0ALya245V7.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358894,Brave1 (2).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/G/I/dN/yrC6ny7wgoqfaQ2g2CuKwyQGn1HFPtbggbwgxM8Wt7cuKzKJD0Llujf26wnPgFbCCY7o6U4WcLFVmbBFSGWLHSPUbPIjVKmAJJrhUVdJsxC2S2UiU9OxET2ndsL3.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358895,Brave1 (3).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/A/b/GD/gROf3tIeDsLkvZdjC8H6Y2amrsKgbHU5IvcNTVSktbVgCKLdB3Db4asVQhiKU7Ii9n9LSetzt6FzWPGgswzXyfwAzuRaQrG7TIilcOJ6nKlkhUHfcHtHJVhzX8L7.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358896,Brave1 (4).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/B/c/v2/Mls1cbzVgI341xt15JkS2buf8RD3y8zrwkH7zmYU0YYHLonHTAjvafijT9e2jMcFwec7N08hK3QAPaIaZ6EuMc8ZCJ9w09wbnyJMrWrUgpYl0VwV41JJrgzRmNcb.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358897,Brave1.png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/M/X/e8/F7nTgow7dpjb2BByFoGeTQcR1fyIr0x8IPgNTzNNDPIZlr0eNQJjbdKymMrCwe2HdLCPZ8v07xdpj1UONvPHoeBhWgZkpRaUr1Kofss06SbhiZ9kCqmDqbuVqD6k.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358898,Brave2 (1).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/7/l/6X/T5aF2IwFosp3TSqzoxSiW2XC8Q68YanUx4v99Cs98sTBtEfP5urWW7lSeWfR0L7ZzHnTBaTY1DVZNPQRkfq6b8mNwr87Xjo9EI7n4FwOZ7bAYfDIIpsffF15LAH9.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358899,Brave2 (2).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/A/2/90/kYrsNeuSgvUWaivmB602BXxCVDHPnPsg9thzTOAZalPRPXRZVpYknELwrYQ22PMcxIPoFtWmTCKeht1V7YFdXpolo29xc3Knb3Bth8pTUVgW4Odv0cwxZd1swTJt.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358900,Brave2 (3).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/k/o/iz/Y3u9oK20SBPJsDgWnEs4j3S4pNsXerONztFm7GmFIWFpfDQY8TSXM6Kzov2qLw56UKgm8XU6QwuTA4YHES1Z7Bcj89e9i99bToqsDZsfy0rDGbQj1KGkjJKhUE1m.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358901,Brave2 (4).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/7/r/sB/FN99aEgyOjUaYpgcQtC7Y3FWjYMofIWbxWYLAFdKgnKlVxLp4ZtHhmEcNd8LYZiRVNLH3ox9B1aCWpTEDYA5N0rAclxlXJ7SOoPUFjiKdCc0EcncSAlCv2NO4AhB.png
268682,2023-10-10 23:31:52.534,868086,Brave. Градации серого,319358902,Brave2 (5).png,https://app.supervisely.com/h5un6l2bnaz1vj8a9qgms4-public/images/original/Y/K/qA/YqMl95szOjmMn8oOrrDaYLNu41zGGw6W7GHTpNamo4cKHYPRBrjxGARWZBZn7eZz3g2Y3CMAZrtQvap2CwAK0CjlyaOKDULboJt3Qo9Jz95TRJWhqYmYGyKMA0Ar.png
